sign,unicode
geš₄,𒀸
gesz4,𒀸
in₆,𒀸
in6,𒀸
ina,𒀸
liri₂,𒀸
liri2,𒀸
liru₂,𒀸
liru2,𒀸
lirum₂,𒀸
lirum2,𒀸
makaš₂,𒀸
makasz2,𒀸
makkaš₂,𒀸
makkasz2,𒀸
ram₂,𒀸
ram2,𒀸
rim₅,𒀸
rim5,𒀸
ru₃,𒀸
ru3,𒀸
rum,𒀸
sagtag,𒀸
sagtak,𒀸
saŋtak,𒀸
salugub,𒀸
santa,𒀸
santag,𒀸
santak,𒀸
simed,𒀸
šup₂,𒀸
szup2,𒀸
tal₃,𒀸
tal3,𒀸
teš,𒀸
tesz,𒀸
til₄,𒀸
til4,𒀸
ṭil,𒀸
"t,il",𒀸
zuₓ,𒍥
1(aš),𒀸
1(asz),𒀸
1(aš@c),𒀸
1(asz@c),𒀸
1(iku),𒀸
aš@c,𒀸
asz@c,𒀸
iku@c,𒀸
didli,𒀸𒀸
man₃,𒀸𒀸
man3,𒀸𒀸
min₅,𒀸𒀸
min5,𒀸𒀸
eš₆,𒀸𒀸𒀸
esz6,𒀸𒀸𒀸
aski,𒀸𒄱𒄄
ašgi,𒋓𒄄
aszgi,𒋓𒄄
aš-šur,𒀸𒋩
asz-szur,𒀸𒋩
eš₁₆,𒐺
esz16,𒐺
šušur,𒀼
szuszur,𒀼
aš₉,𒑀
asz9,𒑀
imin₃,𒑁
imin3,𒑁
imina₃,𒀼𒀼𒀸
imina3,𒀼𒀼𒀸
umun₉,𒀼𒀼𒀸
umun9,𒀼𒀼𒀸
ussa₃,𒀼𒀼𒋰
ussa3,𒀼𒀼𒋰
ussu₃,𒑅
ussu3,𒑅
ia₉,𒀼𒋰
ia9,𒀼𒋰
gašmu,𒀻
gaszmu,𒀻
limmu₄,𒐽
limmu4,𒐽
limu₄,𒀼𒀸
limu4,𒀼𒀸
kad₈,𒀽
kad8,𒀽
šušur₂,𒀽
szuszur2,𒀽
ulilₓ,𒀺
utaqaₓ,𒀺
uzalagₓ,𒀺
uzalakₓ,𒀺
bag₄,𒍧
bag4,𒍧
sumₓ,𒍤𒆸
bag₃,𒁂
bag3,𒁂
bak₃,𒁂
bak3,𒁂
1(aš@t),𒀹
1(asz@t),𒀹
1(aš@t@c),𒀹
1(asz@t@c),𒀹
aš@t,𒀹
asz@t,𒀹
aš₁₁,𒀹
asz11,𒀹
deš₅,𒀹
desz5,𒀹
del₄,𒀹
del4,𒀹
dele₄,𒀹
dele4,𒀹
dil₄,𒀹
dil4,𒀹
dili₄,𒀹
dili4,𒀹
ge₂₃,𒀹
ge23,𒀹
iš₈,𒀹
isz8,𒀹
sagtag₃,𒀹
sagtag3,𒀹
sagtak₃,𒀹
sagtak3,𒀹
saŋtak₃,𒀹
saŋtak3,𒀹
santa₃,𒀹
santa3,𒀹
santag₃,𒀹
santag3,𒀹
santak₃,𒀹
santak3,𒀹
ubu,𒀹
upuₓ,𒀹
uzaglal,𒀹
1/2(iku),𒀹
ilimmu,𒑆
9(diš),𒑆
9(disz),𒑆
9(diš@c),𒑆
9(disz@c),𒑆
kad₆,𒍦
kad6,𒍦
sib₃,𒍦
sib3,𒍦
sip₃,𒍦
sip3,𒍦
sum₅,𒍦
sum5,𒍦
šib₄,𒍦
szib4,𒍦
ṣib,𒍦
"s,ib",𒍦
ṣibi,𒍦
"s,ibi",𒍦
ṣip,𒍦
"s,ip",𒍦
ṣep,𒍦
"s,ep",𒍦
zeb,𒍦
zib,𒍦
zip,𒍦
zub₂,𒍦
zub2,𒍦
as₂,𒀾
as2,𒀾
asa₂,𒀾
asa2,𒀾
aś,𒀾
aš₂,𒀾
asz2,𒀾
aša₂,𒀾
asza2,𒀾
aṣ₂,𒀾
"as,2",𒀾
az₂,𒀾
az2,𒀾
baeš,𒀾
baesz,𒀾
baneš,𒀾
banesz,𒀾
daš₃,𒀾
dasz3,𒀾
deššu,𒀾
deszszu,𒀾
taš₃,𒀾
tasz3,𒀾
ud₂,𒀾
ud2,𒀾
udeššu,𒀾
udeszszu,𒀾
ut₂,𒀾
ut2,𒀾
utu₅,𒀾
utu5,𒀾
imŋaŋaₓ,𒍩𒀀
imgagaₓ,𒍩𒀀
udraₓ,𒍩𒀀
ud₂-duru₅,𒍩𒀀
ud2-duru5,𒍩𒀀
imgaga,𒍩𒀀𒀭
imŋaŋa,𒍩𒀀𒀭
kiraši,𒍩𒀀𒀭
kiraszi,𒍩𒀀𒀭
lahra,𒍩𒀀𒀭
udra,𒍩𒀀𒀭
udru,𒍩𒀀𒀭
ulušin,𒍩𒀀𒀭
uluszin,𒍩𒀀𒀭
imgaga₃,𒍩𒀭
imgaga3,𒍩𒀭
imŋaŋa₃,𒍩𒀭
imŋaŋa3,𒍩𒀭
kirašiₓ,𒍩𒀭𒈾
kirasziₓ,𒍩𒀭𒈾
udra₃,𒍩𒀭
udra3,𒍩𒀭
ulušin₃,𒍩𒀭
uluszin3,𒍩𒀭
imgaga₂,𒍩𒀭𒈾
